Melt Temp,Mold Temp,Injection Speed,VP Switchover,Hold Press,Hold Time,Plastification Speed,Mass
200,40,30,900,700,1,80,39.98
200,40,30,1000,700,3,115,41.47
200,40,30,1100,700,5,150,41.66
220,60,30,1000,900,1,115,40.56
220,60,30,1100,900,3,150,41.78
220,60,30,900,900,5,80,42.12
240,80,30,1100,1100,1,150,40.25
240,80,30,900,1100,3,80,41.66
240,80,30,1000,1100,5,115,42.33
200,60,75,1000,1100,1,80,40.31
200,60,75,1100,1100,3,115,41.86
200,60,75,900,1100,5,150,42.18
220,80,75,1100,700,1,115,39.28
220,80,75,900,700,3,150,40.44
220,80,75,1000,700,5,80,40.98
240,40,75,900,900,1,150,40.02
240,40,75,1000,900,3,80,41.53
240,40,75,1100,900,5,115,41.94
200,80,120,1100,900,1,80,39.25
200,80,120,900,900,3,115,40.7
200,80,120,1000,900,5,150,41.4
220,40,120,900,1100,1,115,40.24
220,40,120,1000,1100,3,150,41.83
220,40,120,1100,1100,5,80,42.4
240,60,120,1000,700,1,150,38.95
240,60,120,1100,700,3,80,40.48
240,60,120,900,700,5,115,41.19
212,74,66,1001,1008,3.9,98,41.65
217,44,32,950,758,2.5,105,41.57
229,57,109,1046,881,3.8,127,41.57
225,59,53,911,746,1.9,100,40.56
218,54,71,1091,1027,3,86,41.89
223,44,120,1053,951,3.8,145,41.96
213,72,52,1038,948,2.8,146,41.37
218,80,95,903,849,1.8,104,40.11
201,78,58,988,756,4,112,41.15
203,44,84,1033,939,4.6,148,41.93
211,59,116,978,1050,2.4,18,41.2
234,68,55,1038,1097,2.4,129,41.46
234,46,91,948,717,2.1,121,40.49
225,57,94,1078,892,1.5,139,40.43
201,43,40,928,922,3.2,103,41.81
218,60,80,1093,1000,1.1,147,40.32
203,52,85,108,806,4.9,97,41.52
204,63,53,1033,804,1.5,120,40.25
209,73,75,916,834,3.5,141,41.05
228,55,103,942,915,4.9,105,41.97
234,59,115,1077,815,3.3,128,41.1
210,63,109,962,852,3.3,85,41
224,58,102,1011,946,3.9,119,41.79
206,65,51,1031,948,2.4,104,41.22
218,73,97,982,755,4.9,117,41.36
202,64,92,1084,804,4.3,90,41.23
205,76,52,905,862,4.1,84,41.53
