speedtime,cutting speed,feed rate,cutting force
0.25,0.25,0.15,0.2854
0.25,0.25,0.3,0.4005
0.25,0.25,0.6,0.63513
0.25,0.25,0.9,0.89351
0.25,0.3333,0.15,0.24702
0.25,0.3333,0.3,0.35567
0.25,0.3333,0.6,0.59621
0.25,0.3333,0.9,0.83027
0.25,0.5,0.15,0.19351
0.25,0.5,0.3,0.32378
0.25,0.5,0.6,0.53027
0.25,0.5,0.9,0.73675
0.25,0.6666,0.15,0.18756
0.25,0.6666,0.3,0.31513
0.25,0.6666,0.6,0.5
0.25,0.6666,0.9,0.7027
0.25,0.8333,0.15,0.19135
0.25,0.8333,0.3,0.30756
0.25,0.8333,0.6,0.50054
0.5,0.8333,0.9,0.67135
0.5,0.25,0.15,0.22378
0.5,0.25,0.3,0.35189
0.5,0.25,0.6,0.60594
0.5,0.25,0.9,0.85675
0.5,0.3333,0.15,0.22486
0.5,0.3333,0.3,0.33513
0.5,0.3333,0.6,0.57837
0.5,0.3333,0.9,0.81135
0.5,0.5,0.15,0.18216
0.5,0.5,0.3,0.31729
0.5,0.5,0.6,0.54432
0.5,0.5,0.9,0.76216
0.5,0.6666,0.15,0.19135
0.5,0.6666,0.3,0.30432
0.5,0.6666,0.6,0.50432
0.5,0.6666,0.9,0.71837
0.5,0.8333,0.15,0.19513
0.5,0.8333,0.3,0.30378
0.5,0.8333,0.6,0.52108
0.5,0.8333,0.9,0.684324
0.75,0.25,0.15,0.20432
0.75,0.25,0.3,0.34648
0.75,0.25,0.6,0.60162
0.75,0.25,0.9,0.84702
0.75,0.3333,0.15,0.19027
0.75,0.3333,0.3,0.34108
0.75,0.3333,0.6,0.57081
0.75,0.3333,0.9,0.76486
0.75,0.5,0.15,0.17783
0.75,0.5,0.3,0.30973
0.75,0.5,0.6,0.54
0.75,0.5,0.9,0.76054
0.75,0.6666,0.15,0.17675
0.75,0.6666,0.3,0.29621
0.75,0.6666,0.6,0.48108
0.75,0.6666,0.9,0.68486
0.75,0.8333,0.15,0.18378
0.75,0.8333,0.3,0.29891
0.75,0.8333,0.6,0.49459
0.75,0.8333,0.9,0.667027
